"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.359,0.618,0.28,0.62,0.29,-0.56,-0.36
"ClusIPW",0.65,0.749,0.56,0.56,0.25,-0.48,0.3
"addIPW",0.877,0.64,0.34,0.53,0.25,0.57,0.46
"Oracle",0.913,0.624,0.3,0.6,0.3,0.3,0.6
