"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.241,0.531,0.08,0.54,0.19,-0.74,-0.34
"ClusIPW",0.694,0.415,-0.21,0.63,-0.31,0.41,0.54
"addIPW",0.744,0.566,0.17,0.88,-0.16,0.39,0.17
"Oracle",0.906,0.62,0.3,0.6,0.3,0.3,0.6
