"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.439,0.678,0.42,0.61,0.3,-0.56,-0.23
"ClusIPW",0.576,0.259,-0.54,0.46,0.16,-0.1,0.68
"addIPW",0.699,0.424,-0.18,0.18,0.27,0,0.93
"Oracle",0.911,0.625,0.3,0.6,0.3,0.3,0.6
