"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.218,0.64,0.34,0.43,0.21,-0.69,-0.43
"ClusIPW",0.649,0.336,-0.39,0.53,0.51,-0.17,0.53
"addIPW",0.659,0.289,-0.48,0.65,0.42,0.19,0.36
"Oracle",0.912,0.627,0.3,0.6,0.3,0.3,0.6
