"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.518,0.651,0.36,0.64,0.43,-0.52,-0.11
"ClusIPW",0.404,0.278,-0.51,-0.03,-0.03,-0.22,0.83
"addIPW",0.835,0.541,0.1,0.52,0.04,0.09,0.84
"Oracle",0.911,0.623,0.3,0.6,0.3,0.3,0.6
