"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.315,0.587,0.21,0.51,0.43,-0.59,-0.4
"ClusIPW",0.557,0.77,0.59,0.47,0.59,-0.17,-0.22
"addIPW",0.901,0.626,0.3,0.53,0.46,0.18,0.62
"Oracle",0.905,0.622,0.3,0.6,0.3,0.3,0.6
