"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.344,0.574,0.2,0.5,0.28,-0.79,-0.12
"ClusIPW",0.803,0.422,-0.2,0.4,0.37,0.16,0.8
"addIPW",0.885,0.619,0.29,0.41,0.34,0.54,0.58
"Oracle",0.91,0.624,0.3,0.6,0.3,0.3,0.6
