"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.395,0.619,0.29,0.63,0.36,-0.55,-0.31
"ClusIPW",0.737,0.641,0.34,0.63,0.54,0.43,-0.07
"addIPW",0.871,0.597,0.24,0.78,0.33,0.35,0.32
"Oracle",0.906,0.623,0.3,0.6,0.3,0.3,0.6
