"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.445,0.611,0.27,0.64,0.4,-0.56,-0.2
"ClusIPW",0.51,0.332,-0.4,0.11,0.79,-0.12,0.44
"addIPW",0.819,0.502,0,0.64,0.17,-0.11,0.74
"Oracle",0.918,0.626,0.3,0.6,0.3,0.3,0.6
