"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.265,0.582,0.2,0.42,0.46,-0.65,-0.39
"ClusIPW",0.483,0.428,-0.18,0.36,-0.64,0.54,0.38
"addIPW",0.878,0.562,0.16,0.54,0.5,0.15,0.63
"Oracle",0.909,0.623,0.3,0.6,0.3,0.3,0.6
