"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.316,0.501,0,0.5,0.43,-0.73,-0.2
"ClusIPW",0.845,0.468,-0.08,0.76,0.38,0.21,0.47
"addIPW",0.762,0.637,0.33,0.53,-0.25,-0.07,0.74
"Oracle",0.916,0.628,0.3,0.6,0.3,0.3,0.6
