"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.314,0.583,0.2,0.49,0.39,-0.7,-0.28
"ClusIPW",0.012,0.536,0.09,-0.26,-0.41,0.69,-0.53
"addIPW",0.825,0.546,0.12,0.85,0.39,0.03,0.34
"Oracle",0.92,0.628,0.3,0.6,0.3,0.3,0.6
