"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.385,0.575,0.18,0.75,0.14,-0.56,-0.28
"ClusIPW",0.599,0.692,0.45,-0.32,0.07,0.42,0.72
"addIPW",0.822,0.668,0.4,0.27,0.61,0.43,0.46
"Oracle",0.907,0.623,0.3,0.6,0.3,0.3,0.6
