"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.057,0.554,0.13,0.34,-0.02,-0.79,-0.49
"ClusIPW",0.818,0.51,0.03,0.91,0.12,0.24,0.32
"addIPW",0.809,0.508,0.02,0.78,0.51,0.02,0.35
"Oracle",0.915,0.626,0.3,0.6,0.3,0.3,0.6
