"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.125,0.441,-0.52,0.46,0.71,0.05
"ClusIPW",14.183,0.243,-0.4,0.61,-0.43,-0.53
"addIPW",20.395,1,1,0,0,0
"Oracle",22.801,0.719,0,0.2,-0.1,0.98
