"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.947,0.508,0.19,0.76,0.25,-0.57
"ClusIPW",18.769,0.515,-0.12,0.86,0.49,-0.13
"addIPW",21.336,0.872,0.17,0.29,0.91,0.23
"Oracle",22.903,0.721,0,0.2,-0.1,0.98
