"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.45,0.286,-0.8,0.49,0.18,0.3
"ClusIPW",12.591,0.159,-0.49,0.48,-0.53,-0.49
"addIPW",17.508,0.683,-0.4,-0.15,0.71,0.55
"Oracle",22.87,0.721,0,0.2,-0.1,0.98
