"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.213,0.323,-0.56,0.33,-0.28,0.7
"ClusIPW",14.155,0.223,-0.5,0.6,-0.49,-0.39
"addIPW",21.709,0.68,-0.41,0.07,0.65,0.64
"Oracle",22.878,0.719,0,0.2,-0.1,0.98
