"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.522,0.357,-0.66,0.68,0,0.31
"ClusIPW",10.477,0.557,0.58,-0.52,-0.31,-0.54
"addIPW",22.145,0.698,0.29,0.42,-0.38,0.77
"Oracle",22.778,0.721,0,0.2,-0.1,0.98
