"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",12.978,0.258,0.23,0.02,-0.97,0.04
"ClusIPW",21.383,0.76,0.37,0.6,0.6,0.37
"addIPW",21.394,0.689,0.51,0.64,-0.26,0.52
"Oracle",22.827,0.723,0,0.2,-0.1,0.98
