"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.673,0.358,-0.19,0.8,-0.49,-0.29
"ClusIPW",13.056,0.185,-0.48,0.52,-0.48,-0.52
"addIPW",20.908,0.973,0.96,0.26,0.12,-0.02
"Oracle",22.798,0.719,0,0.2,-0.1,0.98
