"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.215,0,-1,0,0,0
"ClusIPW",13.184,0.179,-0.53,0.53,-0.53,-0.41
"addIPW",18.58,0.523,-0.34,-0.17,-0.14,0.91
"Oracle",22.758,0.72,0,0.2,-0.1,0.98
