"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.732,0.377,-0.23,0.37,-0.67,0.61
"ClusIPW",15.141,0.289,-0.33,0.69,-0.45,-0.46
"addIPW",14.669,0.519,0.4,0.29,0.13,-0.86
"Oracle",22.821,0.72,0,0.2,-0.1,0.98
