"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.242,0.371,-0.56,0.82,-0.02,0.04
"ClusIPW",10.689,0.054,-0.66,0.32,-0.66,-0.18
"addIPW",19.954,0.646,-0.47,0.03,0.8,0.38
"Oracle",22.88,0.721,0,0.2,-0.1,0.98
