"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.626,0.431,-0.47,0.22,-0.14,0.84
"ClusIPW",17.724,0.339,-0.47,0.52,-0.48,0.52
"addIPW",17.259,0.515,-0.32,-0.21,-0.21,0.9
"Oracle",22.667,0.719,0,0.2,-0.1,0.98
