"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.27,0,-1,0,0,0
"ClusIPW",17.763,0.445,0.16,0.81,-0.53,-0.22
"addIPW",18.67,0.609,0.55,0.14,-0.82,-0.07
"Oracle",22.767,0.718,0,0.2,-0.1,0.98
