"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",13.036,0.283,0.31,0.23,-0.74,-0.55
"ClusIPW",13.995,0.227,-0.43,0.59,-0.49,-0.48
"addIPW",22.411,0.795,0.47,0.18,-0.66,0.56
"Oracle",22.831,0.721,0,0.2,-0.1,0.98
