"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",15.393,0.244,-0.73,0.57,-0.33,0.2
"ClusIPW",20.484,0.514,-0.02,0.49,-0.56,0.67
"addIPW",22.114,0.562,-0.34,0.22,0.01,0.92
"Oracle",22.846,0.721,0,0.2,-0.1,0.98
