"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.215,0.559,0.24,0.93,0.23,-0.15
"ClusIPW",19.936,0.551,-0.19,0.8,0.43,0.37
"addIPW",21.374,0.724,0.5,0.68,0.13,0.52
"Oracle",22.909,0.722,0,0.2,-0.1,0.98
