"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.21,0,-1,0,0,0
"ClusIPW",13.905,0.223,-0.47,0.59,-0.45,-0.48
"addIPW",21.993,0.586,0.09,0.18,-0.65,0.73
"Oracle",22.695,0.718,0,0.2,-0.1,0.98
