"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.212,0.312,-0.62,0.52,-0.31,0.5
"ClusIPW",15.008,0.26,-0.49,0.67,-0.48,-0.28
"addIPW",20.432,0.5,-0.16,0.5,-0.42,0.74
"Oracle",22.856,0.72,0,0.2,-0.1,0.98
