"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.524,0.446,0.46,0.3,-0.77,-0.34
"ClusIPW",18.181,0.319,-0.48,0.31,-0.44,0.7
"addIPW",20.84,0.599,0.36,0.41,-0.72,0.43
"Oracle",22.824,0.721,0,0.2,-0.1,0.98
