"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.065,0.32,-0.69,0.63,0.34,-0.14
"ClusIPW",15.613,0.349,-0.1,0.69,-0.22,-0.69
"addIPW",19.986,0.59,-0.31,0.4,0.85,0.15
"Oracle",22.8,0.72,0,0.2,-0.1,0.98
