"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.234,0,-1,0,0,0
"ClusIPW",18.019,0.502,-0.16,0.61,0.68,-0.36
"addIPW",21.457,0.623,-0.41,0.27,0.67,0.55
"Oracle",22.699,0.718,0,0.2,-0.1,0.98
