"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.331,0.497,0.28,0.46,-0.81,0.24
"ClusIPW",21.372,0.945,0.56,0.31,0.53,0.56
"addIPW",22.062,0.838,0.65,0.27,-0.55,0.46
"Oracle",22.857,0.721,0,0.2,-0.1,0.98
