"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.74,0.621,0.57,0.26,-0.78,-0.02
"ClusIPW",15.209,0.316,-0.23,0.67,-0.21,-0.67
"addIPW",21.065,0.689,0.24,0.71,0.51,0.42
"Oracle",22.84,0.722,0,0.2,-0.1,0.98
