"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.426,0.436,-0.57,0.25,0.16,0.77
"ClusIPW",14.281,0.188,-0.43,0.4,-0.79,0.17
"addIPW",17.903,0.639,0.38,0.39,0.52,-0.66
"Oracle",22.798,0.719,0,0.2,-0.1,0.98
