"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.247,0,-1,0,0,0
"ClusIPW",13.573,0.206,-0.49,0.57,-0.43,-0.5
"addIPW",13.346,0.439,-0.48,-0.36,-0.09,0.79
"Oracle",22.916,0.725,0,0.2,-0.1,0.98
