"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.209,0,-1,0,0,0
"ClusIPW",20.067,0.402,-0.66,0.08,0.13,0.74
"addIPW",21.701,0.756,-0.35,0.09,0.75,0.56
"Oracle",22.819,0.721,0,0.2,-0.1,0.98
