"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.212,0.305,-0.76,0.34,0.39,0.4
"ClusIPW",14.375,0.206,-0.67,0.56,-0.49,0
"addIPW",21.509,0.562,-0.07,0.37,-0.41,0.83
"Oracle",22.781,0.718,0,0.2,-0.1,0.98
