"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.222,0,-1,0,0,0
"ClusIPW",20.43,1,0.58,-0.06,0.59,0.56
"addIPW",20.959,0.734,0.32,0,-0.68,0.66
"Oracle",22.837,0.721,0,0.2,-0.1,0.98
