"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.486,0.428,-0.31,0.83,-0.32,0.32
"ClusIPW",17.471,0.373,-0.4,0.8,-0.41,0.16
"addIPW",21.647,0.772,-0.33,0.11,0.83,0.44
"Oracle",22.771,0.721,0,0.2,-0.1,0.98
