"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.241,0,-1,0,0,0
"ClusIPW",13.68,0.201,-0.5,0.56,-0.52,-0.4
"addIPW",17.237,0.522,-0.42,-0.21,0.03,0.88
"Oracle",22.906,0.722,0,0.2,-0.1,0.98
