"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.681,0.35,-0.37,0.83,-0.38,-0.17
"ClusIPW",13.777,0.221,-0.33,0.55,-0.55,-0.55
"addIPW",20.088,0.667,0.43,0.69,0.55,-0.2
"Oracle",22.81,0.721,0,0.2,-0.1,0.98
