"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.863,0.498,0.02,1,-0.06,0.01
"ClusIPW",16.357,0.318,-0.42,0.74,-0.52,-0.05
"addIPW",21.156,0.698,-0.44,0.04,0.75,0.49
"Oracle",22.794,0.722,0,0.2,-0.1,0.98
