"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",11.84,0.171,0.1,0.24,-0.81,-0.53
"ClusIPW",9.237,0,-0.59,0.12,-0.59,-0.54
"addIPW",21.728,0.742,-0.36,0.08,0.71,0.61
"Oracle",22.731,0.719,0,0.2,-0.1,0.98
