"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.221,0,-1,0,0,0
"ClusIPW",15.164,0.249,-0.63,0.63,-0.46,0
"addIPW",16.683,0.428,-0.42,0.32,0.82,-0.24
"Oracle",22.781,0.719,0,0.2,-0.1,0.98
