"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.481,0.339,-0.73,0.52,0.17,0.41
"ClusIPW",21.131,0.706,0.33,0.7,0.52,0.37
"addIPW",18.911,0.804,-0.29,-0.11,0.82,0.49
"Oracle",22.822,0.721,0,0.2,-0.1,0.98
