"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",21.112,0.658,0.53,0.52,-0.55,0.38
"ClusIPW",20.725,0.656,0.06,0.67,0.67,0.31
"addIPW",21.463,0.607,0.2,0.4,-0.59,0.67
"Oracle",22.868,0.721,0,0.2,-0.1,0.98
