"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.225,0,-1,0,0,0
"ClusIPW",8.364,0.276,-0.37,-0.68,-0.44,-0.46
"addIPW",20.47,1,1,0,0,0
"Oracle",22.815,0.721,0,0.2,-0.1,0.98
