"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",15.966,0.277,-0.45,0.58,-0.66,0.16
"ClusIPW",10.102,0.042,-0.55,0.28,-0.57,-0.54
"addIPW",21.142,0.5,-0.45,0,0,0.89
"Oracle",22.84,0.723,0,0.2,-0.1,0.98
