"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.3,0.501,-0.52,0.42,0.43,0.61
"ClusIPW",14.779,0.271,-0.39,0.67,-0.39,-0.5
"addIPW",22.456,0.648,-0.23,0.29,0.15,0.92
"Oracle",22.859,0.721,0,0.2,-0.1,0.98
