"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",12.588,0.234,-0.4,0.34,0.39,-0.76
"ClusIPW",13.405,0.196,-0.47,0.54,-0.49,-0.5
"addIPW",16.597,0.501,0.4,0.03,-0.91,0.11
"Oracle",22.759,0.719,0,0.2,-0.1,0.98
