"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.184,0.355,-0.19,0.38,-0.75,0.51
"ClusIPW",17.739,0.337,-0.48,0.52,-0.49,0.52
"addIPW",22.318,0.591,-0.26,0.24,-0.05,0.93
"Oracle",22.872,0.72,0,0.2,-0.1,0.98
