"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.618,0.445,-0.03,0.74,-0.63,0.24
"ClusIPW",12.082,0.135,-0.54,0.45,-0.47,-0.54
"addIPW",16.901,0.497,0.45,0.5,-0.21,-0.71
"Oracle",22.809,0.721,0,0.2,-0.1,0.98
