"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",14.505,0.377,0.42,0.25,-0.69,-0.53
"ClusIPW",19.581,0.554,0.16,0.98,0.12,0.07
"addIPW",21.859,0.519,-0.41,0.15,0,0.9
"Oracle",22.794,0.721,0,0.2,-0.1,0.98
