"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.557,0.472,0.21,0.7,-0.68,0.06
"ClusIPW",20.465,0.48,-0.39,0.44,-0.12,0.8
"addIPW",21.892,0.728,-0.3,0.22,0.77,0.51
"Oracle",22.818,0.722,0,0.2,-0.1,0.98
