"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.261,0.444,-0.23,0.32,-0.52,0.76
"ClusIPW",19.455,0.441,-0.42,0.55,-0.2,0.69
"addIPW",21.17,0.502,-0.45,0,0,0.89
"Oracle",22.836,0.72,0,0.2,-0.1,0.98
