"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",14.206,0.285,0.15,0.39,-0.73,-0.54
"ClusIPW",14.12,0.232,-0.42,0.6,-0.5,-0.46
"addIPW",21.626,0.883,0.82,0.39,-0.11,0.41
"Oracle",22.931,0.724,0,0.2,-0.1,0.98
