"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.815,0.489,0.48,0.36,-0.76,-0.24
"ClusIPW",15.951,0.316,-0.34,0.75,-0.51,-0.24
"addIPW",22.232,0.673,-0.35,0.25,0.6,0.68
"Oracle",22.843,0.722,0,0.2,-0.1,0.98
