"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.225,0,-1,0,0,0
"ClusIPW",14.55,0.245,-0.46,0.64,-0.5,-0.36
"addIPW",20.425,0.51,0.05,0.41,-0.67,0.61
"Oracle",22.809,0.721,0,0.2,-0.1,0.98
