"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.212,0,-1,0,0,0
"ClusIPW",7.918,0.129,-0.43,-0.41,-0.59,-0.55
"addIPW",15.952,0.525,-0.4,-0.27,0.01,0.88
"Oracle",22.807,0.722,0,0.2,-0.1,0.98
