"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.513,0.437,0.44,0.33,-0.75,-0.36
"ClusIPW",16.009,0.28,-0.5,0.6,-0.6,0.18
"addIPW",21.917,0.754,0.09,0.47,0.5,0.72
"Oracle",22.78,0.719,0,0.2,-0.1,0.98
