"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.205,0.472,0.19,0.7,0.08,-0.68
"ClusIPW",10.772,0.431,-0.59,-0.51,0.59,0.23
"addIPW",21.094,0.502,-0.45,0,0,0.89
"Oracle",22.9,0.723,0,0.2,-0.1,0.98
